age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
42.5, 13, 41, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
42.5, 13, 41, *, United-States, *, White, Not-in-family, *, <=50K, Divorced
42.5, 13, 41, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
42.5, 13, 41, *, United-States, *, White, Not-in-family, *, <=50K, Married-spouse-absent
42.5, 13, 41, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
51.5, 13, 26.5, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
38.5, 9, 40, Self, United-States, Male, White, *, *, *, Divorced
38.5, 9, 40, Self, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, Self, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, Self, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, Self, United-States, Male, White, *, *, *, Never-married
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Never-married
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Separated
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
40.5, 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
40.5, 14, 40, *, United-States, *, *, *, *, <=50K, Divorced
40.5, 14, 40, *, United-States, *, *, *, *, <=50K, Divorced
40.5, 14, 40, *, United-States, *, *, *, *, <=50K, Never-married
40.5, 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-spouse-absent
54, 5.5, 28, *, America, *, *, *, *, <=50K, Widowed
54, 5.5, 28, *, America, *, *, *, *, <=50K, Divorced
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-civ-spouse
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-civ-spouse
55.5, 9, 47.5, Self, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, Self, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, Self, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, Self, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, Self, North-America, Male, White, Husband, *, *, Married-civ-spouse
32, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Never-married
32, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
42.5, 13, 42.5, Private, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 13, 42.5, Private, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 13, 42.5, Private, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 13, 42.5, Private, United-States, Male, White, *, *, *, Divorced
42.5, 13, 42.5, Private, United-States, Male, White, *, *, *, Married-civ-spouse
38, 11.5, 80, Self, *, Male, *, *, *, *, Married-civ-spouse
38, 11.5, 80, Self, *, Male, *, *, *, *, Divorced
38, 11.5, 80, Self, *, Male, *, *, *, *, Married-civ-spouse
38, 11.5, 80, Self, *, Male, *, *, *, *, Divorced
38, 11.5, 80, Self, *, Male, *, *, *, *, Married-civ-spouse
32, 13, 40, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
32, 13, 40, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
32, 13, 40, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
32, 13, 40, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
32, 13, 40, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
24, 13, 35, Private, United-States, *, White, *, *, <=50K, Never-married
24, 13, 35, Private, United-States, *, White, *, *, <=50K, Never-married
24, 13, 35, Private, United-States, *, White, *, *, <=50K, Never-married
24, 13, 35, Private, United-States, *, White, *, *, <=50K, Never-married
24, 13, 35, Private, United-States, *, White, *, *, <=50K, Never-married
35, 12.5, 50, Private, *, *, *, *, services, *, Never-married
35, 12.5, 50, Private, *, *, *, *, services, *, Married-civ-spouse
35, 12.5, 50, Private, *, *, *, *, services, *, Married-civ-spouse
35, 12.5, 50, Private, *, *, *, *, services, *, Divorced
35, 12.5, 50, Private, *, *, *, *, services, *, Married-civ-spouse
34.5, 4.5, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34.5, 4.5, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34.5, 4.5, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34.5, 4.5, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34.5, 4.5, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
25.5, 9, 37.5, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25.5, 9, 37.5, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25.5, 9, 37.5, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25.5, 9, 37.5, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25.5, 9, 37.5, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Married-civ-spouse
32, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Separated
39.5, 8, 50, *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
39.5, 8, 50, *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
39.5, 8, 50, *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
39.5, 8, 50, *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
39.5, 8, 50, *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
46, 14, 47.5, *, United-States, *, White, *, *, *, Divorced
46, 14, 47.5, *, United-States, *, White, *, *, *, Never-married
46, 14, 47.5, *, United-States, *, White, *, *, *, Married-civ-spouse
46, 14, 47.5, *, United-States, *, White, *, *, *, Widowed
46, 14, 47.5, *, United-States, *, White, *, *, *, Married-civ-spouse
