age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Never-married
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Divorced
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Divorced
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Never-married
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Married-spouse-absent
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Never-married
42.5, 13, 42.5, *, United-States, *, White, *, *, <=50K, Divorced
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
53.5, 13, 26.5, *, America, Male, *, Husband, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, *, White, *, *, *, Divorced
38.5, 9, 40, *, United-States, *, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, *, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, *, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, *, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, *, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, *, White, *, *, *, Divorced
38.5, 9, 40, *, United-States, *, White, *, *, *, Never-married
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Never-married
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Divorced
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, *, America, Male, *, *, manual-labor, <=50K, Divorced
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Separated
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
30.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
42, 14, 40, *, United-States, *, *, *, *, *, Married-civ-spouse
42, 14, 40, *, United-States, *, *, *, *, *, Divorced
42, 14, 40, *, United-States, *, *, *, *, *, Divorced
42, 14, 40, *, United-States, *, *, *, *, *, Married-civ-spouse
42, 14, 40, *, United-States, *, *, *, *, *, Widowed
42, 14, 40, *, United-States, *, *, *, *, *, Never-married
42, 14, 40, *, United-States, *, *, *, *, *, Married-civ-spouse
