age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, >50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, Self, United-States, Male, White, *, *, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, >50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
30.5, 13, 40, Private, *, *, *, *, *, *, >50K
30.5, 13, 40, Private, *, *, *, *, *, *, <=50K
40.5, 14.5, 40, *, *, *, White, *, *, *, <=50K
40.5, 14.5, 40, *, *, *, White, *, *, *, <=50K
40.5, 14.5, 40, *, *, *, White, *, *, *, >50K
40.5, 14.5, 40, *, *, *, White, *, *, *, >50K
40.5, 14.5, 40, *, *, *, White, *, *, *, >50K
40.5, 14.5, 40, *, *, *, White, *, *, *, >50K
40.5, 14.5, 40, *, *, *, White, *, *, *, <=50K
40.5, 14.5, 40, *, *, *, White, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, >50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
54, 6, 28, *, America, *, *, *, *, *, <=50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
57.5, 9, 47.5, *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
34, 14, 50, Private, United-States, *, White, *, *, services, >50K
34, 14, 50, Private, United-States, *, White, *, *, services, <=50K
34, 14, 50, Private, United-States, *, White, *, *, services, <=50K
34, 14, 50, Private, United-States, *, White, *, *, services, <=50K
34, 14, 50, Private, United-States, *, White, *, *, services, <=50K
