age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
42, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
42, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
53.5, 13.5, 26.5, *, America, Male, *, Married-civ-spouse, Husband, *, >50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, >50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, >50K
38.5, 9.5, 40, *, United-States, Male, White, *, *, *, <=50K
56.5, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
56.5, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
