age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
51.5, 13, 26.5, *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, America, Male, White, Married-civ-spouse, Husband, *, >50K
51.5, 13, 26.5, *, America, Male, White, Married-civ-spouse, Husband, *, >50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, >50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
54, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, >50K
54, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
39, 14.5, 40, *, *, *, White, *, *, *, <=50K
39, 14.5, 40, *, *, *, White, *, *, *, >50K
39, 14.5, 40, *, *, *, White, *, *, *, >50K
39, 14.5, 40, *, *, *, White, *, *, *, >50K
39, 14.5, 40, *, *, *, White, *, *, *, >50K
39, 14.5, 40, *, *, *, White, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, >50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
55.5, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
55.5, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
55.5, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
55.5, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
55.5, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
55.5, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
32.5, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
32.5, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32.5, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32.5, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
32.5, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32.5, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
38, 12, 80, *, *, Male, *, *, *, *, >50K
38, 12, 80, *, *, Male, *, *, *, *, <=50K
38, 12, 80, *, *, Male, *, *, *, *, >50K
38, 12, 80, *, *, Male, *, *, *, *, >50K
38, 12, 80, *, *, Male, *, *, *, *, <=50K
38, 12, 80, *, *, Male, *, *, *, *, >50K
32, 13, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
32, 13, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
32, 13, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
32, 13, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
32, 13, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
32, 13, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
24.5, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24.5, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
