age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
41, 13, 42.5, *, United-States, Male, White, *, Not-in-family, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, Not-in-family, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, Not-in-family, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, Not-in-family, *, >50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
29.5, 13, 40, Private, *, *, Black, *, *, *, <=50K
29.5, 13, 40, Private, *, *, Black, *, *, *, <=50K
29.5, 13, 40, Private, *, *, Black, *, *, *, <=50K
29.5, 13, 40, Private, *, *, Black, *, *, *, <=50K
37.5, 14, 40, *, *, *, White, *, *, *, <=50K
37.5, 14, 40, *, *, *, White, *, *, *, >50K
37.5, 14, 40, *, *, *, White, *, *, *, >50K
37.5, 14, 40, *, *, *, White, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
54, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
54, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
54, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
42.5, 13, 42.5, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42.5, 13, 42.5, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42.5, 13, 42.5, Private, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
42.5, 13, 42.5, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
38, 10, 80, Self, *, Male, *, *, *, *, >50K
38, 10, 80, Self, *, Male, *, *, *, *, <=50K
38, 10, 80, Self, *, Male, *, *, *, *, >50K
38, 10, 80, Self, *, Male, *, *, *, *, <=50K
31.5, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
31.5, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, <=50K
31.5, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
31.5, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, >50K
37, 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
37, 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
37, 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, >50K
37, 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
25, 9, 37.5, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, 37.5, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, 37.5, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, 37.5, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
33.5, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
33.5, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
33.5, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
33.5, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
46, 14, 45, Self, United-States, *, *, *, *, Exec-managerial, >50K
46, 14, 45, Self, United-States, *, *, *, *, Exec-managerial, <=50K
46, 14, 45, Self, United-States, *, *, *, *, Exec-managerial, <=50K
46, 14, 45, Self, United-States, *, *, *, *, Exec-managerial, >50K
44, 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
44, 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
44, 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
44, 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
58, 9.5, 22, Private, United-States, *, *, *, *, *, <=50K
58, 9.5, 22, Private, United-States, *, *, *, *, *, <=50K
58, 9.5, 22, Private, United-States, *, *, *, *, *, <=50K
58, 9.5, 22, Private, United-States, *, *, *, *, *, <=50K
35, 5, 41.5, *, America, Male, *, *, *, *, <=50K
35, 5, 41.5, *, America, Male, *, *, *, *, <=50K
35, 5, 41.5, *, America, Male, *, *, *, *, <=50K
35, 5, 41.5, *, America, Male, *, *, *, *, <=50K
44, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
44, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
44, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
44, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
60, 9, 40, Self, United-States, *, White, *, *, *, <=50K
60, 9, 40, Self, United-States, *, White, *, *, *, <=50K
60, 9, 40, Self, United-States, *, White, *, *, *, >50K
60, 9, 40, Self, United-States, *, White, *, *, *, >50K
56.5, 13.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
56.5, 13.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, <=50K
56.5, 13.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
56.5, 13.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
21, 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
21, 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
21, 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
21, 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
52, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
52, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
52, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
52, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
24, 12.5, 53.5, *, United-States, Male, White, *, *, *, <=50K
24, 12.5, 53.5, *, United-States, Male, White, *, *, *, <=50K
24, 12.5, 53.5, *, United-States, Male, White, *, *, *, <=50K
24, 12.5, 53.5, *, United-States, Male, White, *, *, *, >50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
46, 13, 40, *, United-States, *, White, *, *, *, <=50K
46, 13, 40, *, United-States, *, White, *, *, *, >50K
46, 13, 40, *, United-States, *, White, *, *, *, <=50K
46, 13, 40, *, United-States, *, White, *, *, *, <=50K
30.5, 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
30.5, 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
30.5, 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
30.5, 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
22, 10, 19.5, *, United-States, Male, *, *, *, services, <=50K
22, 10, 19.5, *, United-States, Male, *, *, *, services, <=50K
22, 10, 19.5, *, United-States, Male, *, *, *, services, <=50K
22, 10, 19.5, *, United-States, Male, *, *, *, services, <=50K
50, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
50, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
50, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
50, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
23.5, 9.5, 25, Private, United-States, Female, White, *, *, *, <=50K
23.5, 9.5, 25, Private, United-States, Female, White, *, *, *, <=50K
23.5, 9.5, 25, Private, United-States, Female, White, *, *, *, <=50K
23.5, 9.5, 25, Private, United-States, Female, White, *, *, *, <=50K
49, 12, 40, Self, United-States, *, White, *, *, *, <=50K
49, 12, 40, Self, United-States, *, White, *, *, *, <=50K
49, 12, 40, Self, United-States, *, White, *, *, *, <=50K
49, 12, 40, Self, United-States, *, White, *, *, *, <=50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
30.5, 11, 44, Private, United-States, Male, *, *, Not-in-family, *, <=50K
30.5, 11, 44, Private, United-States, Male, *, *, Not-in-family, *, <=50K
30.5, 11, 44, Private, United-States, Male, *, *, Not-in-family, *, <=50K
30.5, 11, 44, Private, United-States, Male, *, *, Not-in-family, *, <=50K
26, 10, 40, Private, *, Female, *, *, *, *, <=50K
26, 10, 40, Private, *, Female, *, *, *, *, <=50K
26, 10, 40, Private, *, Female, *, *, *, *, <=50K
26, 10, 40, Private, *, Female, *, *, *, *, <=50K
48, 15, 60, Self, America, *, White, *, *, *, >50K
48, 15, 60, Self, America, *, White, *, *, *, >50K
48, 15, 60, Self, America, *, White, *, *, *, <=50K
48, 15, 60, Self, America, *, White, *, *, *, <=50K
51, 13, 55, *, United-States, Male, White, *, *, *, >50K
51, 13, 55, *, United-States, Male, White, *, *, *, >50K
