age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
41, 13, 41, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K
41, 13, 41, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K
41, 13, 41, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
29.5, 13, 40, Private, America, Female, Black, *, *, services, <=50K
29.5, 13, 40, Private, America, Female, Black, *, *, services, <=50K
29.5, 13, 40, Private, America, Female, Black, *, *, services, <=50K
37.5, 14, 40, *, *, *, White, Married-civ-spouse, *, *, <=50K
37.5, 14, 40, *, *, *, White, Married-civ-spouse, *, *, >50K
37.5, 14, 40, *, *, *, White, Married-civ-spouse, *, *, >50K
54, 5.5, 23, *, America, Female, *, *, *, Other-service, <=50K
54, 5.5, 23, *, America, Female, *, *, *, Other-service, <=50K
54, 5.5, 23, *, America, Female, *, *, *, Other-service, <=50K
52, 9, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
52, 9, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
52, 9, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
38, 10, 80, Self, *, Male, *, *, *, Exec-managerial, >50K
38, 10, 80, Self, *, Male, *, *, *, Exec-managerial, <=50K
38, 10, 80, Self, *, Male, *, *, *, Exec-managerial, >50K
30, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, services, >50K
30, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, services, <=50K
30, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, services, >50K
24, 13, 35, Private, United-States, Female, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, Female, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, Female, White, Never-married, *, *, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, <=50K
33, 12.5, 50, Private, United-States, *, *, *, *, services, <=50K
37, 4, 45, Private, Central-America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
37, 4, 45, Private, Central-America, Male, *, Married-civ-spouse, Husband, manual-labor, >50K
37, 4, 45, Private, Central-America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
25, 9, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
32, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
32, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
32, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, services, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, services, <=50K
38.5, 8, 50, *, United-States, Male, White, Married-civ-spouse, Husband, services, <=50K
43.5, 14, 45, Self, United-States, Female, *, Divorced, Unmarried, Exec-managerial, >50K
43.5, 14, 45, Self, United-States, Female, *, Divorced, Unmarried, Exec-managerial, <=50K
43.5, 14, 45, Self, United-States, Female, *, Divorced, Unmarried, Exec-managerial, <=50K
43, 16, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 16, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 16, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
56, 9.5, 20, Private, United-States, *, *, *, *, *, <=50K
56, 9.5, 20, Private, United-States, *, *, *, *, *, <=50K
56, 9.5, 20, Private, United-States, *, *, *, *, *, <=50K
35, 5, 41.5, *, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
35, 5, 41.5, *, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
35, 5, 41.5, *, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
43, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
43, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
43, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
60, 9, 40, Private, United-States, *, White, *, *, *, <=50K
60, 9, 40, Private, United-States, *, White, *, *, *, >50K
60, 9, 40, Private, United-States, *, White, *, *, *, >50K
56.5, 13, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
56.5, 13, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, <=50K
56.5, 13, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
21, 9, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K
21, 9, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K
21, 9, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K
49, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
49, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
49, 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
23.5, 12.5, 52, *, United-States, Male, White, *, *, *, <=50K
23.5, 12.5, 52, *, United-States, Male, White, *, *, *, <=50K
23.5, 12.5, 52, *, United-States, Male, White, *, *, *, <=50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
20.5, 10, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K
46.5, 13, 42.5, Private, United-States, Male, White, *, *, bureaucracy, <=50K
46.5, 13, 42.5, Private, United-States, Male, White, *, *, bureaucracy, >50K
46.5, 13, 42.5, Private, United-States, Male, White, *, *, bureaucracy, >50K
30.5, 10, 40, *, United-States, Male, White, Married-civ-spouse, *, *, <=50K
30.5, 10, 40, *, United-States, Male, White, Married-civ-spouse, *, *, <=50K
30.5, 10, 40, *, United-States, Male, White, Married-civ-spouse, *, *, <=50K
22, 10, 17.5, *, United-States, Male, *, *, *, services, <=50K
22, 10, 17.5, *, United-States, Male, *, *, *, services, <=50K
22, 10, 17.5, *, United-States, Male, *, *, *, services, <=50K
48.5, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
48.5, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
48.5, 8, 43, Private, America, *, *, *, Unmarried, *, <=50K
23, 9, 25, Private, United-States, Female, White, *, *, *, <=50K
23, 9, 25, Private, United-States, Female, White, *, *, *, <=50K
23, 9, 25, Private, United-States, Female, White, *, *, *, <=50K
48, 12, 40, Self, United-States, Male, White, *, *, *, <=50K
