age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, <=50K
41, 13, 42.5, *, United-States, Male, White, *, *, *, >50K
51.5, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
51.5, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
51.5, 13, 26.5, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38.5, 9.5, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
54, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, >50K
54, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
54, 8, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
29.5, 13, 40, Private, *, *, *, *, *, *, <=50K
37.5, 14.5, 40, *, *, *, White, *, *, *, <=50K
37.5, 14.5, 40, *, *, *, White, *, *, *, >50K
37.5, 14.5, 40, *, *, *, White, *, *, *, >50K
37.5, 14.5, 40, *, *, *, White, *, *, *, >50K
37.5, 14.5, 40, *, *, *, White, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, >50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
54, 5.5, 28, *, America, *, *, *, *, *, <=50K
55, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
55, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
55, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
55, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
55, 9, 47.5, Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
32, 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
38, 11.5, 80, Self, *, Male, *, *, *, *, >50K
38, 11.5, 80, Self, *, Male, *, *, *, *, <=50K
38, 11.5, 80, Self, *, Male, *, *, *, *, >50K
38, 11.5, 80, Self, *, Male, *, *, *, *, <=50K
38, 11.5, 80, Self, *, Male, *, *, *, *, >50K
32, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
32, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
32, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
32, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
32, 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
24, 13, 35, Private, United-States, *, White, Never-married, *, *, <=50K
35, 12.5, 50, Private, *, *, *, *, *, services, <=50K
35, 12.5, 50, Private, *, *, *, *, *, services, <=50K
35, 12.5, 50, Private, *, *, *, *, *, services, <=50K
35, 12.5, 50, Private, *, *, *, *, *, services, <=50K
35, 12.5, 50, Private, *, *, *, *, *, services, >50K
37, 4.5, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
37, 4.5, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
