age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39, 41, Gov, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K, 13
39, 41, Gov, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K, 12
50, 14.5, Self, America, *, *, *, *, *, <=50K, 13
50, 14.5, Self, America, *, *, *, *, *, <=50K, 5
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 10
53, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 7
53, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
28, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, <=50K, 13
28, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, <=50K, 10
37, 40, *, United-States, Female, White, Married-civ-spouse, Wife, *, <=50K, 14
37, 40, *, United-States, Female, White, Married-civ-spouse, Wife, *, <=50K, 10
52, 45, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
52, 45, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
31, 50, Private, United-States, Female, White, *, *, Prof-specialty, *, 14
31, 50, Private, United-States, Female, White, *, *, Prof-specialty, *, 14
42, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
42, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
37.5, 80, Self, United-States, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
37.5, 80, Self, United-States, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
30, 40, State-gov, *, Male, *, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
30, 40, State-gov, *, Male, *, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
23, 30, Private, United-States, *, White, Never-married, Own-child, *, <=50K, 13
23, 30, Private, United-States, *, White, Never-married, Own-child, *, <=50K, 10
32, 50, Private, United-States, Male, *, *, *, services, <=50K, 12
32, 50, Private, United-States, Male, *, *, *, services, <=50K, 13
34, 45, Private, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 4
34, 45, Private, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 12
25, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K, 9
25, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K, 9
32, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K, 9
32, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K, 7
38, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 7
38, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 9
43, 45, Self, United-States, *, White, Divorced, *, Exec-managerial, >50K, 14
43, 45, Self, United-States, *, White, Divorced, *, Exec-managerial, >50K, 13
40, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 16
40, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 12
54, 20, Private, United-States, *, Black, *, *, *, <=50K, 9
54, 20, Private, United-States, *, Black, *, *, *, <=50K, 9
35, 40, *, United-States, Male, Black, Married-civ-spouse, Husband, *, <=50K, 5
35, 40, *, United-States, Male, Black, Married-civ-spouse, Husband, *, <=50K, 9
43.5, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K, 7
43.5, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K, 10
59.5, 41, Private, United-States, Female, White, Divorced, *, services, <=50K, 9
59.5, 41, Private, United-States, Female, White, Divorced, *, services, <=50K, 13
56.5, 40, Gov, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 13
56.5, 40, Gov, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 14
19.5, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 9
19.5, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
39, 80, Private, United-States, Male, White, Divorced, Not-in-family, *, <=50K, 9
39, 80, Private, United-States, Male, White, Divorced, Not-in-family, *, <=50K, 9
49, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 9
49, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 9
23.5, 52, Gov, United-States, Male, White, *, *, Protective-serv, <=50K, 12
23.5, 52, Gov, United-States, Male, White, *, *, Protective-serv, <=50K, 12
20.5, 44.5, Private, United-States, Male, *, Never-married, Own-child, Sales, <=50K, 10
20.5, 44.5, Private, United-States, Male, *, Never-married, Own-child, Sales, <=50K, 10
45, 40, Private, United-States, *, White, Divorced, *, Exec-managerial, <=50K, 13
45, 40, Private, United-States, *, White, Divorced, *, Exec-managerial, <=50K, 14
30, 40, *, United-States, Male, White, Married-civ-spouse, *, *, <=50K, 10
30, 40, *, United-States, Male, White, Married-civ-spouse, *, *, <=50K, 9
22, 15, *, United-States, Male, *, *, *, services, <=50K, 10
22, 15, *, United-States, Male, *, *, *, services, <=50K, 10
48, 40, Private, America, Male, White, Never-married, *, *, <=50K, 7
48, 40, Private, America, Male, White, Never-married, *, *, <=50K, 11
21, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
21, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 9
19.5, 26.5, Private, United-States, Female, White, *, *, Adm-clerical, <=50K, 9
19.5, 26.5, Private, United-States, Female, White, *, *, Adm-clerical, <=50K, 10
48, 40, *, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 12
48, 40, *, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 14
31, 43, Private, United-States, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 5
31, 43, Private, United-States, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 10
53, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 13
53, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
24, 50, *, United-States, Male, *, *, *, *, <=50K, 13
24, 50, *, United-States, Male, *, *, *, *, <=50K, 10
49, 40, Private, *, Female, White, *, Unmarried, bureaucracy, <=50K, 9
49, 40, Private, *, Female, White, *, Unmarried, bureaucracy, <=50K, 12
57, 40, *, United-States, Male, *, Married-civ-spouse, Husband, Prof-specialty, *, 13
57, 40, *, United-States, Male, *, Married-civ-spouse, Husband, Prof-specialty, *, 11
53, 39, Private, America, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 9
53, 39, Private, America, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 2
41, 40, Gov, United-States, Male, *, Married-civ-spouse, Husband, Craft-repair, <=50K, 11
41, 40, Gov, United-States, Male, *, Married-civ-spouse, Husband, Craft-repair, <=50K, 13
29, 43, Private, United-States, Male, White, Never-married, Not-in-family, Prof-specialty, <=50K, 11
29, 43, Private, United-States, Male, White, Never-married, Not-in-family, Prof-specialty, <=50K, 13
