age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 13
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 9
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 10
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 12
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 10
54, 16.5, Self, America, *, *, *, *, *, <=50K, 13
54, 16.5, Self, America, *, *, *, *, *, <=50K, 5
54, 16.5, Self, America, *, *, *, *, *, <=50K, 9
54, 16.5, Self, America, *, *, *, *, *, <=50K, 9
54, 16.5, Self, America, *, *, *, *, *, <=50K, 10
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 7
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 13
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 10
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 13
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 13
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 14
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 9
37, 40, *, United-States, Female, White, *, *, *, <=50K, 13
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 13
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
38, 80, Self, *, Male, *, *, *, *, *, 10
38, 80, Self, *, Male, *, *, *, *, *, 9
38, 80, Self, *, Male, *, *, *, *, *, 10
38, 80, Self, *, Male, *, *, *, *, *, 9
38, 80, Self, *, Male, *, *, *, *, *, 13
31.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K, 13
31.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K, 9
31.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K, 12
31.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K, 13
31.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K, 13
23, 30, Private, America, *, White, Never-married, *, *, <=50K, 13
23, 30, Private, America, *, White, Never-married, *, *, <=50K, 10
23, 30, Private, America, *, White, Never-married, *, *, <=50K, 10
23, 30, Private, America, *, White, Never-married, *, *, <=50K, 9
23, 30, Private, America, *, White, Never-married, *, *, <=50K, 10
33.5, 50, Private, United-States, Male, *, *, *, *, *, 12
33.5, 50, Private, United-States, Male, *, *, *, *, *, 10
33.5, 50, Private, United-States, Male, *, *, *, *, *, 8
33.5, 50, Private, United-States, Male, *, *, *, *, *, 10
33.5, 50, Private, United-States, Male, *, *, *, *, *, 13
35, 45, Private, *, *, *, *, *, *, <=50K, 4
35, 45, Private, *, *, *, *, *, *, <=50K, 12
35, 45, Private, *, *, *, *, *, *, <=50K, 13
35, 45, Private, *, *, *, *, *, *, <=50K, 9
35, 45, Private, *, *, *, *, *, *, <=50K, 12
26, 35, *, United-States, *, White, *, *, *, <=50K, 9
26, 35, *, United-States, *, White, *, *, *, <=50K, 9
26, 35, *, United-States, *, White, *, *, *, <=50K, 11
26, 35, *, United-States, *, White, *, *, *, <=50K, 14
26, 35, *, United-States, *, White, *, *, *, <=50K, 10
32, 40, *, United-States, Male, White, *, *, manual-labor, <=50K, 9
32, 40, *, United-States, Male, White, *, *, manual-labor, <=50K, 4
32, 40, *, United-States, Male, White, *, *, manual-labor, <=50K, 7
32, 40, *, United-States, Male, White, *, *, manual-labor, <=50K, 10
32, 40, *, United-States, Male, White, *, *, manual-labor, <=50K, 9
38, 50, Self, *, Male, White, Married-civ-spouse, Husband, *, <=50K, 7
38, 50, Self, *, Male, White, Married-civ-spouse, Husband, *, <=50K, 13
38, 50, Self, *, Male, White, Married-civ-spouse, Husband, *, <=50K, 13
38, 50, Self, *, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
38, 50, Self, *, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
44, 45, Self, United-States, *, White, *, *, *, *, 14
44, 45, Self, United-States, *, White, *, *, *, *, 16
44, 45, Self, United-States, *, White, *, *, *, *, 11
44, 45, Self, United-States, *, White, *, *, *, *, 13
44, 45, Self, United-States, *, White, *, *, *, *, 13
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, *, 16
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, *, 13
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, *, 12
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, *, 15
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, *, *, 13
35.5, 40, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K, 5
35.5, 40, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K, 11
35.5, 40, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
35.5, 40, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
35.5, 40, *, America, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
43.5, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 7
43.5, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
43.5, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
43.5, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 14
43.5, 40, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
59.5, 41, Private, *, *, White, *, *, services, *, 9
59.5, 41, Private, *, *, White, *, *, services, *, 10
59.5, 41, Private, *, *, White, *, *, services, *, 13
59.5, 41, Private, *, *, White, *, *, services, *, 10
59.5, 41, Private, *, *, White, *, *, services, *, 10
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, *, 13
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, *, 13
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, *, 11
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, *, 14
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, *, 9
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 9
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 9
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, *, <=50K, 13
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, *, <=50K, 4
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, *, <=50K, 2
23.5, 53.5, *, United-States, Male, *, *, *, *, <=50K, 12
23.5, 53.5, *, United-States, Male, *, *, *, *, <=50K, 13
