age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 13
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 9
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 10
39, 41, *, United-States, Male, White, *, Not-in-family, *, <=50K, 12
52, 16.5, Self, America, *, *, *, *, *, <=50K, 13
52, 16.5, Self, America, *, *, *, *, *, <=50K, 5
52, 16.5, Self, America, *, *, *, *, *, <=50K, 9
52, 16.5, Self, America, *, *, *, *, *, <=50K, 9
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 7
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 13
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 10
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 13
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 14
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 9
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, 47.5, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
32, 50, Private, United-States, *, White, *, *, Prof-specialty, *, 13
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
38, 80, Self, *, Male, *, *, *, Exec-managerial, *, 10
38, 80, Self, *, Male, *, *, *, Exec-managerial, *, 9
38, 80, Self, *, Male, *, *, *, Exec-managerial, *, 10
38, 80, Self, *, Male, *, *, *, Exec-managerial, *, 13
30.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 13
30.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 13
30.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 4
30.5, 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 13
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 13
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 10
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 10
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 10
33, 50, Private, United-States, Male, *, *, *, *, *, 12
33, 50, Private, United-States, Male, *, *, *, *, *, 10
33, 50, Private, United-States, Male, *, *, *, *, *, 14
33, 50, Private, United-States, Male, *, *, *, *, *, 10
35, 45, Private, *, Male, *, *, *, *, <=50K, 4
35, 45, Private, *, Male, *, *, *, *, <=50K, 13
35, 45, Private, *, Male, *, *, *, *, <=50K, 9
35, 45, Private, *, Male, *, *, *, *, <=50K, 12
26, 35, *, United-States, *, White, Never-married, *, *, <=50K, 9
26, 35, *, United-States, *, White, Never-married, *, *, <=50K, 9
26, 35, *, United-States, *, White, Never-married, *, *, <=50K, 14
26, 35, *, United-States, *, White, Never-married, *, *, <=50K, 10
32, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K, 9
32, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K, 7
32, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K, 10
32, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K, 9
38, 50, Private, *, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 7
38, 50, Private, *, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 13
38, 50, Private, *, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 13
38, 50, Private, *, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 9
43, 45, Self, United-States, *, White, *, *, *, *, 14
43, 45, Self, United-States, *, White, *, *, *, *, 16
43, 45, Self, United-States, *, White, *, *, *, *, 13
43, 45, Self, United-States, *, White, *, *, *, *, 13
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 16
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 12
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 15
40.5, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, services, >50K, 13
35.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 5
35.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
35.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
35.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
43.5, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 7
43.5, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
43.5, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
43.5, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
59.5, 41, Private, *, *, White, *, *, services, <=50K, 9
59.5, 41, Private, *, *, White, *, *, services, <=50K, 10
59.5, 41, Private, *, *, White, *, *, services, <=50K, 13
59.5, 41, Private, *, *, White, *, *, services, <=50K, 10
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K, 13
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K, 13
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K, 14
56.5, 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K, 9
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 9
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
20, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K, 10
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 9
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 9
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 4
50.5, 40, Private, America, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K, 2
23.5, 52, *, United-States, Male, *, *, *, *, <=50K, 12
23.5, 52, *, United-States, Male, *, *, *, *, <=50K, 13
23.5, 52, *, United-States, Male, *, *, *, *, <=50K, 12
23.5, 52, *, United-States, Male, *, *, *, *, <=50K, 10
20.5, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K, 10
20.5, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K, 9
20.5, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K, 9
20.5, 44.5, Private, United-States, Male, *, Never-married, Own-child, *, <=50K, 10
45.5, 40, Private, United-States, *, White, Divorced, *, *, <=50K, 13
45.5, 40, Private, United-States, *, White, Divorced, *, *, <=50K, 14
45.5, 40, Private, United-States, *, White, Divorced, *, *, <=50K, 10
45.5, 40, Private, United-States, *, White, Divorced, *, *, <=50K, 10
30.5, 40, *, United-States, Male, White, *, *, *, <=50K, 10
30.5, 40, *, United-States, Male, White, *, *, *, <=50K, 5
30.5, 40, *, United-States, Male, White, *, *, *, <=50K, 9
30.5, 40, *, United-States, Male, White, *, *, *, <=50K, 10
22, 15, *, *, *, *, *, *, services, <=50K, 10
22, 15, *, *, *, *, *, *, services, <=50K, 13
22, 15, *, *, *, *, *, *, services, <=50K, 10
22, 15, *, *, *, *, *, *, services, <=50K, 12
48, 40, Self, America, Male, White, *, *, *, *, 7
48, 40, Self, America, Male, White, *, *, *, *, 12
48, 40, Self, America, Male, White, *, *, *, *, 13
48, 40, Self, America, Male, White, *, *, *, *, 11
21, 25, Private, United-States, Female, *, *, *, *, <=50K, 9
